tweets,labels
"OK,we have inner cities, poor, unemployed, homeless parents,singles, and vets. Ok now, big countries like russia,china,turkey,India all have similar problems. Of those countries how many open their borders like we have, and supply all those things the refugees and no complaints?",no_poverty
"@KTRTRS Respected KTR SIR.
MY NAME IS MOHAMMED WAJID BABA WORKED AS A CHEMIST IN DUBAI.
NOW IAM HOMELESS SIR IN DUBAI .I WANT TO COME BACK TO https://t.co/cOl5wzQOjl POLICE IS NOT RESPONDING TO MY COMPLAINTS.PLZZ SEND ME BACK TO INDIA SIR.
mohammedwajidbaba786@gmail.com",no_poverty
"@surbhiprasad4 @FinancialXpress @MoHUA_India @HardeepSPuri @FightForRERAInd @abhaykol Where is d model to ensure delivery or refund ? Only plans, no action on ground. Govt helpless, builder mindless, realty direction less, buyer homeless n paying #EMI on pretext of mouth support. Check ratio of complaints n order n implementation. Reality of realty. @PMOIndia https://t.co/aJdReSYxIf",no_poverty
"#ForcedEviction Alert, Delhi: 20 houses demolished in Rohini without #DueProcess. #HomeDemolitions, allegedly, on the basis of complaints from a girls' hostel. Ironic, as girls, women, children have been rendered #homeless.
#Right2Housing #EndForcedEvictions #UNEvictionGuidelines https://t.co/U80vuHOKCo",no_poverty
@FightagainstCOD @Dev_Fadnavis  comedian k corruption complaints pe India jagrut 12000 families homeless koi action .nahi...,no_poverty
"Never heard the complaints abt the ""homeless problem"" in the 90s when I was hanging around the underpass w/ homeless folks in India Basin.",no_poverty
"Seems like the ‘largest supplier of generic drugs’ is seriously compromising on quality of their pharmaceutical exports. 

A streak of complaints over the past years emerging from low to middle income countries importing medicines from India has largely gone unheard. https://t.co/V65hoDUBHm",no_poverty
@okilloran @SallyDeal4 @BerubeDenise1 @realDonaldTrump I am speaking about the complaints of one group Trump says taking jobs. Mexicans are taking low income jobs. In my neighborhood 80% of students at my daughter’s elementary is from India who are here on HB1 visas. My partner hires them because its cheaper. While my sons cant work.,no_poverty
"States with low per capita income big on economic crimes https://t.co/qsMXFQiZ9B #Politics Complaints of economic crimes in India dropped 4.4% in 2016, the first time it’s declined in a decade. In the preceding 10 years, economic crimes grew at an annual 6.8%.",no_poverty
"States with low per capita income big on economic crimes https://t.co/FNkbJ2Vopn #politics Complaints of economic crimes in India dropped 4.4% in 2016, the first time it’s declined in a decade. In the preceding 10 years, economic crimes grew at an annual 6.8%.",no_poverty
"@saqibazmat First, sincerely hope everything goes well for you &amp; a fast recovery. 🙏🏼

I do agree India has some great clinics &amp; services. I actually used a clinic in Mumbai last time I was there. Super professional, affordable, no complaints.

To me they’re 6 or 7 on that list.",no_poverty
"@PMAYUrban @HardeepSPuri @mp_kaushal @Secretary_MoHUA @MoHUA_India @KuldipNarayan Largest Affordable housing ......
with the smallest houses to live 
and 3rd-grade constructions quality

People have been waiting for their subsidy since 2019 and their complaints are thrown into dustbins.

No Governance Model!

@narendramodi @PMOIndia @PMAYUrban  #PMAY  #Scam",no_poverty
"@KristianBent @NoronhaSullivan @GOAMILES1 It’s affordable yes, but have you heard the complaints of the drivers who drive for Ola and Uber in India? There’s a reason why there’s no parity between what drivers make in India and the west. It’s a valid argument the cabbies are making today.",no_poverty
"@KalPanthu @footy_kashyap Yeah but we as fans have asked for it the six5six India jersey was for 1k and they got a lot of complaints about quality. I'm totally agreeing to your point it's not affordable, but then when the jersey is cheap we cannot say the quality is bad. Can't have it both ways.",no_poverty
"@manukumarjain sir I wud lyk to tell u that u have raised a standard of cell phones &amp; made it affordable 4 evry1. congratulations for becoming India's no 1 smartphone brand.
We don't hv any complaints 4 the cellphone bt this is small req if u can add a quality of waterproof model",no_poverty
"@mitchellvii To be expected. Dems run Ca, a sanctuary state. The Priority Immigrants drove Californians out of affordable housing in LA &amp; San Diego. Streets are more contaminated than slums of India/Brazil/Kenya, w/20,000 complaints last year about feces on the streets of San Francisco alone!",no_poverty
"@narendramodi Execellent initiative.
Zero emission,deepest reach,most affordable public transport- Pedal Rickshaw with 80 lacs nos. (UNDP-India) with 250 crs turn over daily, about 5 crs dependents.. still unorganized; not complaints!
Innovation needed added to micro-financing!
skbaranga@gmail",no_poverty
@cmohry @mlkhattar @BJP4India @BJP4Haryana @MIB_India @PIB_India @TOIGurgaon @RKJain52832166 @MohitKu1968 @leenadhankhar @rssurjewala @mlkhattar The govt is not at all listening to the complaints of Haryana affordable housing policy buyers. A big scam occured because of nexus between builders and Town and country planning department. No action,no_poverty
@cmohry @PiyushGoyal @FinMinIndia @PIB_India @MIB_India @BJP4India @BJP4Haryana @TOIGurgaon @RKJain52832166 @MohitKu1968 @mlkhattar there are many ways of corruption. Gross violation of norms in Haryana affordable housing policy 2013 is perfect example of corruption. No action is taken by DTCP officers against builders. Several complaints filed but no action,no_poverty
"@cmohry @BJP4India @BJP4Haryana @PIB_India @MIB_India CM is also to concern for the Affordable Housing Policy where more than 1 lakh buyers are affected as no anomalies have been clarified / removed in the policy despite various complaints in CM window, RTI, Representations, Reminders, Legal notice, etc. sent from October, 2017.",no_poverty
"@cmohry @BJP4India @BJP4Haryana @MIB_India @PIB_India @UKIBC @ZapandGo Open loot in Gurgaon by Affordable housing builders, Govt  and TCP department keeping mum on Flat buyers complaints since last two years...",no_poverty
"It's clearly seen that the @ECISVEEP
has lost its credibity in the recent election of Bihar. Complaints of disparities were made but the election commission of India denied them all. Democracy is in danger.

#बिहार_मांगे_तेजस्वी_सरकार",no_poverty
"It's is clearly seen that the 
@ECISVEEP
 has lost its credibility in the recent election of Bihar. Complaints of disparities were made but the election commission of India denied them all. Democracy is in danger.
 #बिहार_मांगे_तेजस्वी_सरकार

 #बिहार_मांगे_तेजस्वी_सरकार",no_poverty
"It's is clearly seen that the 
@ECISVEEP
 has lost its credibility in the recent election of Bihar. Complaints of disparities were made but the election commission of India denied them all. Democracy is in danger.
 #बिहार_मांगे_तेजस्वी_सरकार",no_poverty
"It's is clearly seen that the 
@ECISVEEP
 has lost its credibility in the recent election of Bihar. Complaints of disparities were made but the election commission of India denied them all. Democracy is in danger.
 #बिहार_मांगे_तेजस्वी_सरकार

 #बिहार_मांगे_तेजस्वी_सरकार",no_poverty
"It's is clearly seen that the @ECISVEEP has lost its credibility in the recent election of Bihar. Complaints of disparities were made but the election commission of India denied them all. Democracy is in danger.
 #बिहार_मांगे_तेजस्वी_सरकार",no_poverty
"Animal Welfare Board of India - AWBI Complaints https://t.co/WPnHMBx7gG via @twitterapi 
   In crawford market running elligal pets shop without license please take some neccery action",no_poverty
"@Strat_31360 @adgpi Aage aage देखिए hota hai कटाक्ष

India is not going to stay as a welfare state
Everything will be contractual and No Control, No responsibility system will prevail

Lodge the complaints and will wait for reply for weeks
This will run as the Municipalities are running today",no_poverty
"Multiple n mass complaints have been registered with IBF/BCCC but nothing is being done, pls look into this matter of public specially women n child welfare issue 🙏 @MoHFW_INDIA @MIB_India https://t.co/Ei4tFlr66e",no_poverty
"“parking problems” &amp; “people coming and going at all times.” In an affidavit filed today,@UPGovt told the court that demolition of Welfare Party of India’s UP general Secy Javed Mohammad’s house at Kareli in Prayagraj ws undertaken after authorities received complaints frm 1/2",no_poverty
"@meenakshisharan @DrRupani Who is Dr Idris Ahmed Khan ? Why can't we make complaints at appropriate level so that the authorities take cognizance? 

Please write a complaint letter to Minister of Health and Family welfare. A complaint and a FIR must be registered.  Also speak to your lawyer.

@MoHFW_INDIA",no_poverty
"@dgpapofficial @APPOLICE100
@CollectorGuntr
Requesting your good offices to depute a suitable officer for 26 districts in Andhra Pradesh as advised by the Animal Welfare Board of India to DGP office. Guntur Urban police is ignoring to take appropriate actions on lodged complaints https://t.co/D6sJ4HC7Ft",no_poverty
"@omarali50 I'm curious why the qualification, could you elaborate pls? Welfare delivery has never been so universal and efficient in independent India than after Modi came to power. I have a 1000 complaints against the man, but delivery for the poor is not one of them. It's why he wins.",no_poverty
"It should be improvement in per capita income/reduction in crimes/welfare measures/hospitals/roads/schools/number of citizen complaints/#Corruption instead of caste, religion,#India #Politics #tribe #language #north #South https://t.co/0wvYUdiifC",no_poverty
"@appleden26 @ashoswai 80% tax payers are Hindus! Your argument has been dusted! The Indian history , culture belongs to the whole of India therefore he can do that anywhere in India! In fact funds from temples have been used to build Churches, masjids, in welfare of minorities .No room for complaints.",no_poverty
@3Dshree @PMCPune @PuneCityPolice PMC is not supposed to take complaints of barking . Its a natural phenomenon as per Animal welfare board of india. People certainly have so much tolerance to so much noise caused by others .,no_poverty
"After Receiving Complaints from Various Students across India, Regarding Non Submission of PG Admission Form and Fees, Submitted a memorandum to the Dean Students Welfare, DU regarding the Same! @Neerajkundan @nsui https://t.co/s3NAUfdwWt",no_poverty
"Social Media is a great tool to have,
If, you play it safe!

Follow these simple tips so that 'you can have all the fun', &amp; yet don't compromise on your safety‼️

Register your cybercrime-related complaints at https://t.co/ynvMnqjOuj

@Cyberdost 
#BeCautious #BeCyberSafe https://t.co/Ef4El4Hf6j",no_poverty
"Just Visited @mcdonaldsindia y'day in Surat @ Deepkamal Mall , but saw crowed sitting on tables mark to be left for social distancing, no safety to visit Ma india, These guys never take action for any complaints 9377098221, #McDonaldsIndia #ImLovinIt",no_poverty
"Just Visited @mcdonaldsindia yesterday in Surat @ Deepkamal Mall , but i found crowed sitting on tables that were to be left for social distancing, no safety to visit Mac Donald india, These guys are fake, they never take action for any complaints, #McDonaldsIndia #ImLovinIt",no_poverty
@thinktank1925 @AhmedabadPolice @AMC_Complaints @DyMC_WZ @MoHFW_INDIA @CMOGuj The shop has already placed markers so customers can maintain social distancing. Rules&lt;-&gt;Sanctions in place. Authorities taking action against offenders. But what more can be done by Govt? Shouldn’t we as people be more responsible? That too for our own safety?,no_poverty
"IMCTs to focus on complaints of implementation of lockdown measures as per guidelines, supply of essential commodities, social distancing, preparedness of health infrastructure, safety of health professionals and conditions of the relief camps for labour and  poor people.",no_poverty
@DelhiPolice @DcpNorthDelhi Despite so many complaints posted to social media including police dda mcd pmo lg mayor etc but still the unauthorized construction is going on without any fear of any law and order in this capital of india no agencies is concerned for the safety of citizens due to this. https://t.co/QliOqhe0DX,no_poverty
There should be regulating agency to control @Twitter &amp; other sources of social media in India as the ruling party is misusing.A third party monitering agency is needed as @TwitterSupport  or safety team do not take even genuine complaints serously.,no_poverty
"@RSSorg @narendramodi @ZeeNews is this digital India we call? We have to go to the nearest police station for lodging complaints of spammers harassing women on WhatsApp n call. Is this the safety women get in India? It's social issue of safety of women's.
 https://t.co/VkuvP0wHBf",no_poverty
Least bothered about customer complaints. God bless India!! It'll always be a developing country.,no_poverty
"This year, India had to invoke the Bali Peace Clause — which prevents WTO members from complaints against a developing country member for compliance with certain obligations - India exceeded “the ceiling on support it can offer farmers for rice for 2018-2019 https://t.co/t9DoBTn1dV",no_poverty
"It happens in a developing country like USA, not in a developed country like India! What a quality of life we are all leading? Every one is so satisfied that none have complaints on economy, education, jobs, GDP, infrastructure and politicians! https://t.co/WN1cenXVGx",no_poverty
Sir the call dropping is a major problem for current situation that is biggest concern of developing country like india sir their are lists of complaints from the twitter seva to improving quality of telecom service but never take any intant action on this problem@rsprasad,no_poverty
"@khushsundar I don't think India is a developing Country,I have so many Complaints starting from prices hike in  #LPGCylinder,#Petrol,#GST",no_poverty
#corrpution increases vulnerability &amp; exclusion of #citizens with #disabilities. Can DMs please ensure disabled people do not become victims of corruption &amp; any such complaints are dealt seriously &amp;promptly.@IASassociation @BureaucratsInd @IPS_Association #IAS @DRM_India @NPRD_IN https://t.co/7Qnz1Y31t5,no_poverty
Discrimination &amp; vulnerability is exacerbated when persons with #disabilities  become victims of #corruption.O/o Chief Commissioner/State Commissioners for disabilities should encourage complaints registration &amp; ensure prompt follow-up @drsitu @IASassociation @NPRD_IN @DRM_India,no_poverty
"there's an important security vulnerability i found in the app which collects data by Andhrapradesh(India).
https://t.co/B8ztCO2bee
 Its a webapp and the UI is served by  https://t.co/7Prn1iPFwU 

The app has a feedback feature and  collects complaints.1/n",no_poverty
"@AshokanAnusree Well, considering that India didn't help Kashmir defend itself and took advantage of Kashmir's vulnerability to have it sign it's country away............  I do have complaints.  But you don't seem like the person I want to discuss anything with.",no_poverty
Why isn’t India having a direct “Rape Complaint Filing” through an App or website link that forces all complaints to be investigated &amp; followed by every police dept? This vulnerability can be so much reduced: @PMOIndia @DelhiPolice @ArvindKejriwal @narendramodi https://t.co/BhnLTsCnan,no_poverty
After #MeToo India's sexual harassment laws mandate that a Local Complaints Committee should address complaints. But most cities or districts have no such committees. And social vulnerability of the poor class women is still left voiceless in this movement. #MeTooIndia https://t.co/WYI96Ws3xv,no_poverty
"@icindngr @indiranagarblr @BBMP_MAYOR @BbmpJc @footpath_india Despite repeated complaints the condition of 9th A Main Indiranagar joining 100 ft road remains precarious and dangerous. Dogs, garbage and beer bottles thrown around, open cooking with open gas cylinders, road and footpath fully encroached. Safety and security in danger. https://t.co/TcSCnMgXdp",no_poverty
Thank you @DishTV_India for the pathetic service. New connection installed on 03.04.2019. Dish installed in a rather precarious condition and seems to fall off  at a light stroke of feather. Complaints already made but the problem still persists.,no_poverty
"@_DigitalIndia @centralbank_in is devastating Digital India programme. E-mail are not responded,  pensioner cannot register online complaint, online general complaints are not resolved/allotted ref no., no responsiveness to Tweets. What's the solution at this precarious situation",no_poverty
"@ScientistBoard @icarindia @PMOIndia @MinistryOfAg @AgriGoI Already candidates suffering. Exam conducted in May 2022. Multiple complaints made from all over India. ASRB turned deaf. No hope. Candidates helpless. My server crashed 3 times. Server down for 90% candidates
@ScientistBoard @icarindia @PMOIndia @AgriGoI #ASRB #ICAR #aspirants",zero_hunger
"As per the Agriculture dept., India's Tur sowing is improving, lagging now 13% vs 20% ...but on the other hand, complaints of crop damage due to water logging are increasing.
#Maharashtra #Kharif_2022",zero_hunger
"The magnesium content in millets can reduce how frequently you experience migraines. It can also bring down the severity of your asthma complaints.

@nstomar @ShobhaBJP @KailashBaytu @PIB_India @mygovindia
#agriculture #millets #milletfact #agrigoi https://t.co/kmDcLy57Sn",zero_hunger
"In cases of complaints/grievances emanating subsequent to publication of beneficiary list, the same should be addressed and remedial action taken expeditiously. 
#PMKisan
@nstomar @narendramodi @ShobhaBJP @KailashBaytu @SecyAgriGoI @mygovindia @PMOIndia @PIB_India @MIB_India",zero_hunger
"Any grievances or complaints which are received should be disposed off on merit preferably within two weeks time.
#PMKisan
@nstomar @narendramodi @ShobhaBJP @KailashBaytu @SecyAgriGoI @mygovindia @PMOIndia @PIB_India @MIB_India @MyGovHindi @icarindia",zero_hunger
"@FCI_India @AgriGoI @fooddeptgoi @nstomar @PIB_India @MIB_India @micnewdelhi @COVIDNewsByMIB Due to timely action by @Fci_maharashtra, there was no disruption in supply chain management of foodgrains, no complaints received from people, media or state administration. Ample quantity of foodgrains were always made available in own and hired depots of @FCI_India 

#PMGKAY https://t.co/MacFAgCnrY",zero_hunger
"@icarindia @PRupala @PIB_India @KailashBaytu @PMOIndia @AgriGoI @nstomar @mygovindia @DDKisanChannel @Dept_of_AHD Where can I put request, and complaints for ICAR ?",zero_hunger
"In cases of complaints/grievances emanating subsequent to publication of beneficiary list, the same should be addressed and remedial action taken expeditiously. 
#PMKisan @nstomar @narendramodi @PRupala @KailashBaytu @SecyAgriGoI @PMOIndia @mygovindia @MIB_India @PIB_India",zero_hunger
"Any grievances or complaints which are received should be disposed off on merit preferably within two weeks time.
#PMKisan @nstomar @narendramodi @PRupala @KailashBaytu @SecyAgriGoI @PMOIndia @mygovindia @MIB_India @PIB_India @smritiirani @PrakashQuotes @PrakashJavdekar @AmitShah",zero_hunger
"#JusticeForSaharaIndiaInvestors 

Please solve complaints related to Sahara India credit cooperative society &amp; Q shop. Please help the investors.

@EOWDelhi @dir_ed @AgriGoI @SecyAgriGoI @nstomar @PRupala @KailashBaytu @Shubha671",zero_hunger
"Consumer Commissions mandated by the law to render simple, inexpensive and speedy adjudication of consumer complaints

Details: https://t.co/g5GVm9bxX9

@fooddeptgoi @AgriGoI @PIB_India @MIB_India https://t.co/wLr5fcaVqZ",zero_hunger
@MoHFW_INDIA @PMOIndia @mansukhmandviya @DrBharatippawar @PIB_India @mygovindia @AmritMahotsav @fssaiindia nutrition will continue to remain a joke till such time foscos acts in a timely manner on consumer complaints of health and hygiene. Registered complaint on foscos fssai portal but no action taken for the last 21 Days. Waiting for good governance or an accident,zero_hunger
"Abbott Nutrition, Danone Nutricia under govt lens for ‘breaking law to sell baby food’ @MoHFW_INDIA has taken cognisance of two complaints filed by BPNI, which accuse the firms of malpractice in Delhi. @JPNadda 
#breastfeedinglaw #protectbreastfeeding 
https://t.co/RAjqsf1HWz",zero_hunger
Women and child development ministry got 27 complaints last year on nutrition ... - Times of India http://t.co/5I2wV3pWgs,zero_hunger
Women and child development ministry got 27 complaints last year on nutrition scheme: The ministry of w... http://t.co/mQA6TkJ3aP #india,zero_hunger
21 complaints on nutrition programme irregularities - There have been 21 complaints this year about irregularities...http://bit.ly/oMO4d2,zero_hunger
"We heard the PM on New Year day. Complaints ad nauseam. Wish PM of India could have said Food Security,  Comprehensive Health Insurance, Universal Legal Aid, Farm Income Enhancement, Accountable Agencies, Lok Pal, Decent Politics for 2019",zero_hunger
"Food security big hit, but day 1 sees 4000 complaints - Times of India https://t.co/0qAMfnNhFc",zero_hunger
"Let's look for solutions rather than debate the name of the Global Hunger Index. India does not score well as it has serious child undernutrition issue. Complaints on PoU measurements are baseless – #GHI2022 uses internationally recognised data. 

FAQs: https://t.co/HXp1UdVFze https://t.co/KIqdpeFaN0",zero_hunger
"Complaints against advertisements of five food and beverages companies https://t.co/QHqvlW2SEG India Pvt Ltd (Organic Honey and Organic Ghee) : The advertisement’s claim, “Organic Ghee”,... https://t.co/zaJIKiskaw",zero_hunger
"Out of the total 114 advertising complaints Advertising Standard Council of India (ASCI) upholds during the month of April 2019, 59 complaints were from the Education Sector, 35 from Healthcare sector, 5 from personal care sector &amp; 2 from food &amp; beverage sector.",zero_hunger
@sudhirchaudhary Accept or not India developed as a banana Republic. Tell me one thing which we don't have any complaints as a nation at large. Since 1947 we r working for food cloth water education &amp; a roof.  Anything has completed?,zero_hunger
@TwitterSupport On what grounds have you restricted the account of @roadscholarz? Were there complaints? Don't you recheck info &amp; the premise of complaints? They tweeted on increasing child malnutrition in India &amp; you think that warrants restriction? Restore fully. Right to info! https://t.co/dikcwPnuKc,zero_hunger
"And the commonest complaints of women – non specific aches &amp; pains (indicative of hard labour, lack of rest, malnutrition, violence etc)-are not even counted in our health data, let alone be addressed! #PHRN #gender #health #agriculture #mahilakisan @Archana4equaliT @PRADAN_India https://t.co/adxwFs748l",zero_hunger
"@bestwishesall @airindiain Nothing has changed with Air India. We paid an exorbitant price for substandard experiences with filthy cabins, broken equipment, non functioning toilets and poor quality food on @airindiain Nothing has changed and no response to my complaints @JM_Scindia @RNTata2000",zero_hunger
"Saifuddin says consumer complaints mainly on price of ready-to-eat food – Malay Mail

https://t.co/CNdhos2vOQ

#LimitedTimeSaleOffer #Waterfilter #ROwaterfilter #AlkalineWater #ROwater #waterpurifier #purewater #India #waterfilters #RO #Alkaline #Pump #Membrane #water #health #…",zero_hunger
@RailMinIndia All high officer take bribe  of high price  thatsfore  no any give food &amp; Water on fare rate .No want to control on it All over india  same problem  but railway  want to solve only particular complaints  Not like to solve  root problem,zero_hunger
@LGIndia India please be warned donor buy Lg products esp the high end washing machine.  It’s a risk to ur life and mental well-being.  Even the CEOs office doesn’t act on escalated complaints.,good_health_and_well_being
@Shivabharati4 @PiyushGoyal @PiyushGoyalOffc @Central_Railway @RailMinIndia @RAIL But as railway has given a platform for making complaints and people have got smartphone nowadays they only point out the mistakes of railways. They do not remember that there are some duties of our as well being a citizen of India.,good_health_and_well_being
@indiangamers @PMOIndia @AmitShah @RahulGandhi @INCIndia @myogiadityanath @nsitharaman @yadavtejashwi @airtelindia @VodafoneUK @sardesairajdeep @rsprasad @ZeeBusiness @CNBCTV18News Tax evasion can't be forever for RIL. Definitely one day Govt will have to take action against it either for the well being of people of india or due to complaints received from people of India. It can't be hidden forever..!!,good_health_and_well_being
"Its a shame to see hote authority like @CPCB_OFFICIAL @NMMConline @NMMCCommr work towards well being of citizens, ignoring the complaint without any hesitation. So many complaints to various offices. #India working culture is never going to change https://t.co/srlSfkVMuR",good_health_and_well_being
@LGIndia India please be warned donor buy Lg products esp the high end washing machine.  It’s a risk to ur life and mental well-being.  Even the CEOs office doesn’t act on escalated complaints.,good_health_and_well_being
@Shivabharati4 @PiyushGoyal @PiyushGoyalOffc @Central_Railway @RailMinIndia @RAIL But as railway has given a platform for making complaints and people have got smartphone nowadays they only point out the mistakes of railways. They do not remember that there are some duties of our as well being a citizen of India.,good_health_and_well_being
@indiangamers @PMOIndia @AmitShah @RahulGandhi @INCIndia @myogiadityanath @nsitharaman @yadavtejashwi @airtelindia @VodafoneUK @sardesairajdeep @rsprasad @ZeeBusiness @CNBCTV18News Tax evasion can't be forever for RIL. Definitely one day Govt will have to take action against it either for the well being of people of india or due to complaints received from people of India. It can't be hidden forever..!!,good_health_and_well_being
"Its a shame to see hote authority like @CPCB_OFFICIAL @NMMConline @NMMCCommr work towards well being of citizens, ignoring the complaint without any hesitation. So many complaints to various offices. #India working culture is never going to change https://t.co/srlSfkVMuR",good_health_and_well_being
"@India_NHRC And what about the mental health of #NEETUG22 aspirants. Despite registration of complaints , no action has been taken yet.Hypocrisy ki v semma hoti h .. Great 🙏🙏",good_health_and_well_being
@Jawahar_India Absolutely. It's so hard to get institutions to install measures &amp; to take harassment complaints and mental health concerns seriously. Everything gets lost in translation &amp; administrative procedures.,good_health_and_well_being
"Really tragic that incidents like this continue to happen in India. A principal who ignores sexual harassment complaints and accuses students of ""taking advantage"" of their mental health conditions should not be allowed to work anywhere near children! 
https://t.co/fReXg1vDZs",good_health_and_well_being
"@NidhaParveen In India jews,Christians and parsis etc are living from centuries. Not only are flourishing but helping India. Why this community has hundreds of problems and complaints? Better Migrate peacefully &amp; have good physical and mental health. Either join Mainstream or tata...bye bye",good_health_and_well_being
@ndtv Forget abt mental health the universities like Madurai kamraj uni cheating students n asking they to repay fee agn n agn several complaints raised to ugc but no action the victim is going in depression now due to this n ugc is responsible @ugc_india @dpradhanbjp @EduMinOfIndia,good_health_and_well_being
"#4. State Mental Health Authority (SMHA)
Every state in India shall appoint a SMHA (that includes care-givers, nurses, NGOs) to
- supervise and register health establishments
- ensure service quality and receive complaints
- register and train professionals",good_health_and_well_being
"@nokiaindustries I am employe of Nokia(india) via payroll, need importat mail for complaints about some security and payroll employees mental health issue.",good_health_and_well_being
"#Bankers and Recovery agents are responsible for destroying mental health of #MiddleClass

The anxiety, when the phone rings.

Self guilt of non payment

Abusive language of recovery agents.

@PMOIndia @RBI @MoHFW_INDIA shud hv control on such complaints.

#LCAI #bank #Finance https://t.co/QkJTMncx0A",good_health_and_well_being
"#Mentalhealth #Sleep

Sleep is very important for rest and restitution.

Difficulty in falling asleep, difficulty in maintaining sleep, disturbed sleep, poor sleep quality, night mares, etc are common sleep complaints.

Sleep is linked to mental health.

@PMOIndia @MoHFW_INDIA https://t.co/P7bFE1JPlU",good_health_and_well_being
"@ADH05748232 @DrRPNishank @ugc_india 3rdday of #DumockOBE:same issues same complaints,yet no response fromDU. How could student lives mean so small to Du?what's the purpose of Du mental health program?What's purpose of mock if student can't get their actual course paper?Is mockOBE for relieving or stressing student? https://t.co/OUCkPPCrZx",good_health_and_well_being
"@ugc_india  @DrRPNishank  if u can promote cbse 12 th students without exams what sins final year students committed... we've given previous 5 semesters without any complaints... DON'T BE A DICTATOR 
Mental Health Matters
#DuAgainstOnlineExam #ScrapOBE",good_health_and_well_being
"Our #complaints to Hon’ble @rashtrapatibhvn &amp; @CMOMaharashtra related to #Mulund @fortis_hospital were transferred to #public health dept. #mantralaya &amp; now they have sent to Deputy Director,https://t.co/cugsm3GL3O Hospital for further action @timesofindia
@mid_day https://t.co/wqaZOU1gmP",good_health_and_well_being
"Public health officers fear complaints of coronavirus as outbreak within city rises
England India vs West Indies 2nd wickets: LIVE SERIES Archive: Live cast on IPL 2SO brings baseball to women era #modnargathsah",good_health_and_well_being
"@AMC_Complaints @rbs9723803048 @Mauryasujeetku1 @Dev1Kmwat @AhdSantosh @jitu_yadav79 @DyMC_NZ @CMOGuj @lochan_sehra @kiritjparmarbjp @HiteshBarotBJP @AMCommissioner @CRPaatil @narendramodi @DyMC_EZ @DyMC_NWZ @Amc_Gujarat @pkumarias @WHO @MoHFW_INDIA @GPCB_HO @GPCB_Ahdcity @SmartCityAhd @SmartCities_HUA @smartcitiesind @BalramThawani @hasmukhpatelmp @Bhupendrapbjp @DropadiMurmu__ @rashtrapatibhvn @AmdavadAMC @PMOIndia @CRPatil3 @AMC_Feedback @VPSecretariat #CleanNanaChiloda, hope you will track it personally to proove your team @AmdavadAMC is really worried about public health and concern, @GPCB_Ahdcity please note this dranage water is directly going to sabarmati river! Most welcome at Stp, nandigram. Kotarpur to see live.",good_health_and_well_being
